note_id,episode_id,dominant_topic,topic_label,topic_strength,long_stay_3yr
1,1,4,Placement & Stability,0.7999999208885954,False
2,1,2,Court & Legal,0.79952265658323,False
3,1,3,Visitation & Contact,0.8857141991067201,False
4,2,4,Placement & Stability,0.7999999208885954,False
5,2,5,Safety & Wellbeing,0.7999999202447795,False
6,2,4,Placement & Stability,0.7999999208885954,False
7,3,5,Safety & Wellbeing,0.7999999202447795,False
8,3,5,Safety & Wellbeing,0.7999999200044108,False
9,3,1,Assessment & Services,0.8399999105824043,False
10,4,4,Placement & Stability,0.7999999208885954,False
11,4,2,Court & Legal,0.7999999001857484,False
12,4,3,Visitation & Contact,0.8857141991067201,False
13,4,1,Assessment & Services,0.8399999105824043,False
14,4,3,Visitation & Contact,0.7999998444611065,False
15,4,4,Placement & Stability,0.7999999208885954,False
16,4,1,Assessment & Services,0.8399999105824043,False
17,5,5,Safety & Wellbeing,0.7999999202447795,False
18,5,2,Court & Legal,0.79952265658323,False
19,5,1,Assessment & Services,0.7999998810899477,False
20,5,4,Placement & Stability,0.7999999208885954,False
21,5,2,Court & Legal,0.7999999001857484,False
22,6,5,Safety & Wellbeing,0.7999999200044108,False
23,6,1,Assessment & Services,0.7999998810899477,False
24,6,2,Court & Legal,0.79952265658323,False
25,6,3,Visitation & Contact,0.7999998444611065,False
26,6,2,Court & Legal,0.79952265658323,False
27,6,3,Visitation & Contact,0.7999998444611065,False
28,7,3,Visitation & Contact,0.7999998444611065,False
29,7,5,Safety & Wellbeing,0.7999999200044108,False
30,7,3,Visitation & Contact,0.7999998444611065,False
31,7,1,Assessment & Services,0.8399999105824043,False
32,7,2,Court & Legal,0.79952265658323,False
33,7,2,Court & Legal,0.7999999001857484,False
34,7,3,Visitation & Contact,0.7999998444611065,False
35,7,3,Visitation & Contact,0.8857141991067201,False
36,7,3,Visitation & Contact,0.7999998444611065,False
37,7,2,Court & Legal,0.79952265658323,False
38,8,4,Placement & Stability,0.7994821080875453,False
39,8,2,Court & Legal,0.7999999001857484,False
40,8,3,Visitation & Contact,0.7999998444611065,False
41,8,3,Visitation & Contact,0.7999998444611065,False
42,8,1,Assessment & Services,0.7999998810899477,False
43,8,1,Assessment & Services,0.8399999105824043,False
44,8,2,Court & Legal,0.7999999001857484,False
45,9,2,Court & Legal,0.79952265658323,False
46,9,1,Assessment & Services,0.7999998810899477,False
47,9,5,Safety & Wellbeing,0.7999999202447795,False
48,9,5,Safety & Wellbeing,0.7999999202447795,False
49,9,5,Safety & Wellbeing,0.7999999202447795,False
50,9,4,Placement & Stability,0.7994821080875453,False
51,9,3,Visitation & Contact,0.7999998444611065,False
52,10,5,Safety & Wellbeing,0.7999999202447795,True
53,10,5,Safety & Wellbeing,0.7999999200044108,True
54,10,2,Court & Legal,0.7999999001857484,True
55,10,4,Placement & Stability,0.7994821080875453,True
56,10,2,Court & Legal,0.79952265658323,True
57,10,2,Court & Legal,0.7999999001857484,True
58,10,4,Placement & Stability,0.7994821080875453,True
59,10,3,Visitation & Contact,0.7999998444611065,True
60,10,5,Safety & Wellbeing,0.7999999200044108,True
61,10,1,Assessment & Services,0.7999998810899477,True
62,11,1,Assessment & Services,0.8399999105824043,False
63,11,4,Placement & Stability,0.7994821080875453,False
64,11,4,Placement & Stability,0.7994821080875453,False
65,11,2,Court & Legal,0.7999999001857484,False
66,11,2,Court & Legal,0.7999999001857484,False
67,11,5,Safety & Wellbeing,0.7999999202447795,False
68,11,2,Court & Legal,0.79952265658323,False
69,12,4,Placement & Stability,0.7994821080875453,False
70,12,4,Placement & Stability,0.7999999208885954,False
71,12,3,Visitation & Contact,0.8857141991067201,False
72,12,4,Placement & Stability,0.7999999208885954,False
73,12,3,Visitation & Contact,0.8857141991067201,False
74,13,5,Safety & Wellbeing,0.7999999202447795,False
75,13,3,Visitation & Contact,0.7999998444611065,False
76,13,4,Placement & Stability,0.7994821080875453,False
77,13,4,Placement & Stability,0.7999999208885954,False
78,13,4,Placement & Stability,0.7999999208885954,False
79,13,2,Court & Legal,0.7999999001857484,False
80,13,3,Visitation & Contact,0.7999998444611065,False
81,13,3,Visitation & Contact,0.7999998444611065,False
82,14,4,Placement & Stability,0.7994821080875453,False
83,14,4,Placement & Stability,0.7994821080875453,False
84,14,1,Assessment & Services,0.7999998810899477,False
85,14,5,Safety & Wellbeing,0.7999999200044108,False
86,14,3,Visitation & Contact,0.7999998444611065,False
87,14,1,Assessment & Services,0.7999998810899477,False
88,14,4,Placement & Stability,0.7999999208885954,False
89,14,1,Assessment & Services,0.8399999105824043,False
90,15,4,Placement & Stability,0.7994821080875453,False
91,15,4,Placement & Stability,0.7994821080875453,False
92,15,3,Visitation & Contact,0.8857141991067201,False
93,15,5,Safety & Wellbeing,0.7999999200044108,False
94,15,2,Court & Legal,0.79952265658323,False
95,15,5,Safety & Wellbeing,0.7999999202447795,False
96,16,3,Visitation & Contact,0.8857141991067201,False
97,16,3,Visitation & Contact,0.7999998444611065,False
98,16,2,Court & Legal,0.7999999001857484,False
99,16,1,Assessment & Services,0.7999998810899477,False
100,16,3,Visitation & Contact,0.7999998444611065,False
101,16,2,Court & Legal,0.7999999001857484,False
102,16,5,Safety & Wellbeing,0.7999999202447795,False
103,16,3,Visitation & Contact,0.7999998444611065,False
104,17,2,Court & Legal,0.79952265658323,False
105,17,1,Assessment & Services,0.7999998810899477,False
106,17,5,Safety & Wellbeing,0.7999999202447795,False
107,17,5,Safety & Wellbeing,0.7999999202447795,False
108,17,5,Safety & Wellbeing,0.7999999200044108,False
109,17,2,Court & Legal,0.79952265658323,False
110,17,4,Placement & Stability,0.7999999208885954,False
111,17,4,Placement & Stability,0.7994821080875453,False
112,18,2,Court & Legal,0.7999999001857484,False
113,18,5,Safety & Wellbeing,0.7999999202447795,False
114,18,1,Assessment & Services,0.8399999105824043,False
115,18,4,Placement & Stability,0.7994821080875453,False
116,18,4,Placement & Stability,0.7999999208885954,False
117,18,4,Placement & Stability,0.7999999208885954,False
118,19,1,Assessment & Services,0.7999998810899477,True
119,19,1,Assessment & Services,0.8399999105824043,True
120,19,2,Court & Legal,0.79952265658323,True
121,19,1,Assessment & Services,0.7999998810899477,True
122,19,4,Placement & Stability,0.7994821080875453,True
123,19,3,Visitation & Contact,0.7999998444611065,True
124,19,5,Safety & Wellbeing,0.7999999200044108,True
125,19,2,Court & Legal,0.7999999001857484,True
126,19,2,Court & Legal,0.79952265658323,True
127,20,4,Placement & Stability,0.7994821080875453,False
128,20,1,Assessment & Services,0.7999998810899477,False
129,20,1,Assessment & Services,0.8399999105824043,False
130,20,1,Assessment & Services,0.8399999105824043,False
131,20,2,Court & Legal,0.7999999001857484,False
